Group,corr_price_turn_1M,vol_std_1M,vol_std_3M,vol_std_6M,vol_down_std_1M,vol_down_std_3M,vol_down_std_6M,vol_up_std_1M,vol_up_std_3M,vol_up_std_6M,vol_highlow_avg_1M,vol_highlow_avg_3M,vol_highlow_avg_6M,vol_highlow_std_1M,vol_highlow_std_3M,vol_highlow_std_6M,vol_upshadow_avg_1M,vol_upshadow_avg_3M,vol_upshadow_avg_6M,vol_upshadow_std_1M,vol_upshadow_std_3M,vol_upshadow_std_6M,vol_downshadow_avg_1M,vol_downshadow_avg_3M,vol_downshadow_avg_6M,vol_downshadow_std_1M,vol_downshadow_std_3M,vol_downshadow_std_6M,vol_w_downshadow_avg_1M,vol_w_downshadow_avg_3M,vol_w_downshadow_avg_6M,vol_w_downshadow_std_1M,vol_w_downshadow_std_3M,vol_w_downshadow_std_6M,mmt_normal_M,mmt_normal_A,mmt_avg_M,mmt_avg_A,mmt_intraday_M,mmt_intraday_A,mmt_overnight_M,mmt_overnight_A,mmt_off_limit_A,mmt_off_limit_M,mmt_range_M,mmt_range_A,mmt_discrete_M,mmt_discrete_A,mmt_sec_rank_M,mmt_sec_rank_A,mmt_route_M,mmt_route_A,mmt_time_rank_M,liq_turn_avg_1M,liq_turn_avg_3M,liq_turn_avg_6M,liq_turn_std_1M,liq_turn_std_3M,liq_vstd_1M,liq_vstd_3M,liq_vstd_6M,liq_amihud_avg_1M,liq_amihud_avg_3M,liq_amihud_avg_6M,liq_amihud_std_1M,liq_amihud_std_3M,liq_amihud_std_6M,liq_shortcut_avg_1M,liq_shortcut_avg_3M,liq_shortcut_avg_6M,liq_shortcut_std_1M,liq_shortcut_std_3M,liq_shortcut_std_6M,corr_price_turn_post_1M,corr_price_turn_prior_1M,corr_rety_turn_1M,corr_rety_turn_post_1M,corr_rety_turn_prior_1M,corr_price_turn_3M,corr_price_turn_post_3M,corr_price_turn_prior_3M,corr_rety_turn_3M,corr_rety_turn_post_3M,corr_rety_turn_prior_3M,corr_price_turn_6M,corr_price_turn_post_6M,corr_price_turn_prior_6M,corr_rety_turn_6M,corr_rety_turn_prior_6M,corr_rety_turn_change_1M,corr_rety_turn_change_post_1M,corr_rety_turn_change_prior_1M,corr_rety_turn_change_3M,corr_rety_turn_change_post_3M,corr_rety_turn_change_prior_3M,corr_rety_turn_change_6M,corr_rety_turn_change_post_6M,corr_rety_turn_change_prior_6M,liq_turn_std_6M,corr_rety_turn_post_6M,HS300ZZ500StyleBias5,HS300ZZ500StyleBias20,HS300ZZ500StyleBias60,ZZ500ZZ1000StyleBias5,ZZ500ZZ1000StyleBias20,ZZ500ZZ1000StyleBias60
1,0.000736070991566592,0.0004563612172723132,0.0005014571850644939,0.0005123383374245422,0.00024981691965413673,0.00035934924146786726,0.0003965025084171835,0.0006081740111459011,0.0006861596785791563,0.0006711195661578662,0.000408664786239934,0.00042743066812974155,0.0004976329067465419,0.0004463167365556825,0.0005135724374651744,0.0005235071085215119,0.000400315606708615,0.0004720153239312314,0.0005365761261399082,0.0005081196144315686,0.0005050226737984312,0.0005244377566012702,0.00041179302662191337,0.000421168905640363,0.0004087042318160049,0.000444343738429897,0.00046029057954637267,0.00044893136636893965,0.000309121006920968,0.00038716261079090205,0.00045397607338256904,0.00046916984025719983,0.0004787821257534532,0.0005428139823270875,0.0002742293691733749,-0.0001376611052220552,7.032717125529908e-05,0.00021290093674544542,0.0005056537783017461,0.0004857200836425008,-0.0007977095333834763,4.1740030818099764e-05,3.121410284850294e-05,-4.339125262820477e-05,0.0005923566060955641,0.0008382131257204529,0.00016637991201713784,-0.00014574346082981115,0.00017431283913458003,-9.645523194873074e-05,0.0002016164782911657,0.0002534496274386107,0.00030973048472730975,0.00033771981469793064,0.00036263962832390836,0.00037359474156424126,0.000389018795302563,0.00037259712894991033,0.0010510579063343448,0.0010764384479683847,0.001054407806364607,-0.0003694449080444465,-0.0002474132415892533,-0.00016142777426446503,-0.000371322285777708,-0.00022573730885510214,-0.0001858706545175362,-0.0002512714761421678,-0.00010810238630656134,-5.269934456008625e-05,-0.00011745160828973035,-3.6291794508170146e-05,-7.033943546002446e-07,0.0007146461431103089,0.0005852442667610824,0.0005678743128403635,0.0006271937370932695,0.0005365840927501317,0.0004274073763543707,0.0004073646505197812,0.00035136953835563457,0.0006594223160022808,0.0004975084693167321,0.0005596659456008937,0.0002645927538632761,0.00026123454941708133,0.0002055885799554362,0.0007162600667173812,0.0005692442116457498,0.0005987845732875897,0.0007236409246057651,0.00038264215524114404,0.0005405864490037744,0.0006300699002683982,0.0003040218386299949,0.000511488526575323,0.0006428138036972717,0.00015428105089973054,0.000389018795302563,0.0006355266528401737,0.00020588299968411495,0.00012411150669397052,0.0002921814795024735,0.0005787858934699988,0.0004443275980807901,0.0005787858934699988
2,0.0007238243600974672,0.00053048658604573,0.000584306950495403,0.0005356652409127654,0.00033514023334004747,0.00045004195409271476,0.00045835530419426133,0.0006694193808038711,0.0006656666517028935,0.0006002951661464206,0.0004619764214670911,0.0004996778030536612,0.000412913565832117,0.0005488904354859197,0.0005669206513514928,0.0005084577437772106,0.0004949914856274405,0.0004772318369974249,0.00046653552141403203,0.0004794410278204354,0.00048100724921197255,0.00047634062110902593,0.00041833892508305294,0.0003849070141492822,0.00037434723085285606,0.0005144134826222088,0.00045450645331381875,0.0004390967330283324,0.0004452105124858694,0.000506916176494227,0.00047377349401871605,0.0004826462011031345,0.000552471886320908,0.000549400913235126,0.0004574023261604961,0.00032440890161181926,0.00051113906695608,0.0004375700521884495,0.0005825586377551881,0.00044920614167320383,0.00025530299563864033,0.00017128695123977235,0.0002528134314771776,0.00019623694369020668,0.000769632639807063,0.0008010084873593032,0.0004069298042984743,0.0002603760002162146,0.0003674527050719022,0.0002050171763474313,0.0004797524327428407,0.0004778360538904077,0.0005844367629901705,0.00042518623153849696,0.00038803292325647416,0.00041454301812106543,0.0004682529218362873,0.0004726505165487132,0.0009368123399141016,0.0008336877363213892,0.0007652604577059518,-0.00021701887933646324,-0.00010918144428230758,-0.0001185427603534666,-0.00017023422277331635,-9.47730955008661e-05,-7.148625049699604e-05,-2.2247438388179994e-05,1.6775085917554702e-05,2.8086631720166434e-05,4.1419378973101e-05,2.101050372570869e-05,2.9353048431496726e-05,0.0006662822365133915,0.0005930914891007577,0.0005872795468223827,0.0007881407596595432,0.0006743205041912461,0.00040374935646959577,0.00039782095813856367,0.00034883464798810617,0.0005957863829046398,0.0005392296787550223,0.0006792561512621197,0.00033122753054348487,0.0003776716909688218,0.0003114194747735362,0.0006274596898947501,0.000556329231743022,0.0005506546620747402,0.0005687709498180615,0.00044044102981178186,0.0004838292294818913,0.0004893430349551654,0.00045032414488372215,0.0004445554941167845,0.00036424954318873886,0.0003399680845366875,0.0004682529218362873,0.0007262970672971169,6.337179392975197e-05,5.415296241486097e-05,0.00018698987416422393,0.0004483096229289778,0.00029468559236462154,0.0004483096229289778
3,0.0006820044719869152,0.000615071377561965,0.0006017150071748722,0.0005194365569477705,0.00037845379332041273,0.0004224126985646977,0.00036411270784531756,0.0006811641262208666,0.0006377318712453556,0.0005776849402943798,0.0005437868674071813,0.0004508275002371549,0.0004873297634918746,0.0005726341018378585,0.0005506903808812512,0.0003861901864373585,0.0005257688986318246,0.0005007266810259365,0.0005320878331532696,0.0005893769379377998,0.0005008564745842707,0.0004675038961394686,0.0005053542476093928,0.0005017533143947413,0.0004472754366440023,0.0004972361164161742,0.0005169813373968097,0.0004396368559414572,0.0005470061320142395,0.0005482747621705223,0.0005105111158652193,0.0005657559267025972,0.0005918478085511011,0.0005008361101480994,0.000548411370130245,0.0005089322712453712,0.0005372356912266655,0.0004536657421830083,0.0006689499780046773,0.00042752611697005426,0.0004014312526317466,0.00017085588568239968,0.000327347002802769,0.0002964762584168614,0.0007381118245314563,0.000573497564757207,0.0004070487991549802,0.00035988981588222876,0.00036521476140839493,0.0004202392520664667,0.0006073176227596172,0.0005595564934674235,0.0006693064199035025,0.0005249583871010427,0.00045603091268593503,0.0004345067707433759,0.0005027387856162479,0.0005285805980900594,0.0007602020466358779,0.0006466196479241517,0.0006103412900575055,-0.00011368086556213222,-4.880235347184902e-05,9.902730448578093e-06,-7.303199323656113e-05,-3.369648347019837e-05,3.133874700350436e-05,0.00016175554320193983,0.0001274279939985357,0.00017919702641017198,0.00018672896247169787,0.00017597705032444436,0.0001654621414082961,0.0006519403981763687,0.0006211743419880888,0.0005510314500374559,0.0007916733732324718,0.0006196042928833174,0.0004701464564511945,0.0004711926239783323,0.0004022826035287288,0.0006023779457624617,0.0004181255812082573,0.000632902503953685,0.00046870006706587874,0.0004825062432351374,0.00039557127813583115,0.0005619596507717095,0.0005667394163960542,0.0004845026383299741,0.00037189792005928494,0.00043831338211284545,0.00042923144750846087,0.0002811851230993559,0.0004233195561523476,0.0003539020759678775,0.00027060027879120265,0.000448078966236153,0.0005027387856162479,0.0007413645196681999,-0.0002728458979473137,-2.8579095864860306e-05,0.0001899553426112856,0.0004313920595265443,0.0001721232825014521,0.0004313920595265443
4,0.000556333123763194,0.0006643104665320444,0.0005154310326652288,0.0004809248667366187,0.00045066233949613303,0.00042547679215119787,0.0003308333613540201,0.0006475035172383744,0.0005253042239946873,0.00047072302928938243,0.0005740414094225454,0.0005416646523157408,0.0004841531444053152,0.0005920653588659077,0.0005083706495168055,0.0004625019486964211,0.0005314281301267782,0.0005112032723442071,0.000526222254392277,0.0005922858743295818,0.00046018503636268765,0.0004758952713876115,0.0005940407901609096,0.00048064452435153736,0.0004970754751000466,0.0006025451162659498,0.000490228097069134,0.00045554923631562416,0.0006944140346842076,0.0005627249276420326,0.0005481895950825385,0.000638143113694813,0.000576394482387645,0.0005464298549941896,0.0006557253042985536,0.000595134884140651,0.0006082349450164074,0.000538310252210658,0.0006534267327929158,0.0004187382025822369,0.0004730846494106201,0.00024653643741428475,0.00040545767662733876,0.0004398489378089659,0.0006774561323820652,0.00044953524537184923,0.0004984199204875907,0.0004439381572709518,0.00048026651427240247,0.00041656350612657474,0.0006278567849215407,0.0007270617815605095,0.0006439926152296282,0.0005906694441832674,0.0005619763707836778,0.00042738142765703517,0.0006152621577097822,0.0004758988365453772,0.0005905708992650527,0.0005126803711641892,0.00042081638554931406,2.7166793364302616e-05,0.00011121954759837335,0.00011317468203587957,0.00010400822987827519,0.00013675299970569124,0.00015014573704883998,0.00027201078664631725,0.0003579709400668148,0.0003352937850550778,0.00030459775689735207,0.00032514576909063703,0.0003549055183370724,0.0005750859699952398,0.0005035156820331956,0.0004858761634507291,0.0006962115332973947,0.0004644651358113578,0.0004951702372474018,0.0004793957994010672,0.00042948344596633405,0.0005502759873411248,0.0003814101866318428,0.0005055278409423832,0.000416070929243353,0.00040496993728884607,0.00039066983463254316,0.00044634880113100117,0.0005677361527887117,0.0003207273900342513,0.00019886007486075803,0.00046643528042282376,0.00041676426377289195,0.00020089821505475309,0.00045046143590058834,0.00038098908451553973,0.00016920388091215942,0.00040054005232713103,0.0006152621577097822,0.0006426584145037225,-0.0001675857752620495,-4.16441228208403e-05,0.00029141372343151627,3.9091963895497614e-05,3.305730352995764e-05,3.9091963895497614e-05
5,0.0005249722897294441,0.0006047322695455172,0.0004784589024298215,0.0004495270035952983,0.0005182112917804997,0.0004038343777299872,0.00039746379885935315,0.0006107052175929172,0.0004785878700124121,0.0005459917875572159,0.0006201360084546886,0.000490056547391995,0.00048693841385822234,0.0005840206607270775,0.00042730322736355206,0.00041258853166635734,0.0005790373336841588,0.0004740385391942958,0.0004331974138274429,0.00048235620690531024,0.0005024706588120102,0.00040562648451857166,0.000568462296022853,0.000513694709467515,0.0004414977540948627,0.0005520994219897167,0.0004923068473165635,0.0004858661726248428,0.0006915403779691852,0.0006581256683777952,0.0006056044715353494,0.0006498397778431668,0.0005090893741901366,0.000487181293207472,0.0006778530982415865,0.0005888741770159827,0.0006677542827838276,0.0005846335161943805,0.0006468017549741122,0.00036385508585869586,0.0005711752628850054,0.0003083926796448883,0.0003421785018662779,0.00046901303844434515,0.0006242529832832412,0.0003036892844786602,0.0004389733093864585,0.00042776414218867985,0.00040087113938167506,0.00043733258281363684,0.0006927088114362267,0.0006352349276538319,0.0005890473219660789,0.0006290805842211533,0.0005366406783123067,0.0005083249200349562,0.000626171820224333,0.0004911040266618476,0.0003544030306288946,0.00030315523018978037,0.0002779733446907249,0.00024045736718758824,0.00020557525810388345,0.00021718238721296727,0.0002266428187642859,0.0002267313358743779,0.00022736802610600967,0.000380747252720755,0.0003757182122910576,0.00042344095276661037,0.00030754959339718486,0.0003272901763909113,0.0003694147166160703,0.000448538249797468,0.0005067328700482903,0.0004791913678995574,0.0006259472062488251,0.000498527726671637,0.00045937873248215363,0.00047746927167758305,0.0004425857789819353,0.0005059265143663881,0.0003810809987287016,0.00043163013442628343,0.00046410092796439885,0.00039491867322481787,0.00045578758206480275,0.00038856212619848787,0.00042065673644364174,0.0004639825825366082,-0.0004807698358763598,0.00040020018884387616,0.00037610321091401593,-0.0002126249208961468,0.0004129210454996185,0.00041560027804266535,-0.00010416392866154485,0.0003892423447980436,0.000626171820224333,0.0005788265287247523,7.209984406453046e-05,0.00030332218137609954,0.00016827132164105778,-0.0002561834664099981,-4.489653912658611e-05,-0.0002561834664099981
6,0.00040081776621394075,0.0005357881461913542,0.0004698385768826171,0.0004091948686410793,0.00042479119989673615,0.00040752767590392986,0.0003791767120830231,0.0004965153387402919,0.0004258507421647161,0.00030583299236266754,0.0005378120881669163,0.0005233979627027823,0.0004059940918831624,0.0005974233065912145,0.00041119299693252395,0.00043435796120335635,0.0003808973610591962,0.0004773650296593157,0.00038699349471692327,0.000480204648042496,0.00046992250627067236,0.0004222402394211211,0.0005060136312568311,0.0004596754460443083,0.00045610934177758833,0.0005049367006641674,0.00042653466815920885,0.00040498612821760594,0.000714260977049715,0.0005600610033916063,0.0004308598822142098,0.0006126340667647754,0.0005339396873682902,0.00044597116166688857,0.0007507152324948935,0.0006702142281437103,0.0006765759355574739,0.00046894196171706705,0.0006584088135505332,0.0003408275567831658,0.0006210679523721074,0.00033828732191289944,0.0004545376190198131,0.0005564326790010244,0.0004011124827664658,0.0001870413831561487,0.0003987293145727,0.00046248690558016616,0.0005644655058154489,0.0004827804663866474,0.000637975470482243,0.0006534028592053211,0.0003892136295630481,0.0005963414530978481,0.0004895731839795761,0.000408624303068484,0.0005899204235079192,0.0005949888074652393,0.00020078453202542395,0.00014468804514922612,0.0001667874741316645,0.00040763777319302835,0.00031654055581161,0.00031245417849483554,0.0005239455448840923,0.0003769828111121852,0.0003666864963556204,0.00036673622375647526,0.000300544611154148,0.00026181116257581314,0.00037909993278324586,0.0003434738405823984,0.00027846625478983794,0.0004216995839532916,0.0003675667829055684,0.00031883399678230115,0.000538550961591512,0.0003505197562731916,0.0004832646065720073,0.0004214792215563015,0.00047951169209759707,0.0003056753416481644,0.00032583931754466403,0.00039258665006691794,0.0004640231602796479,0.00044691243698986665,0.00040822488118539614,0.00035656506426809783,0.00029297911767177013,0.00037785454987044074,-0.0002076880405487506,0.00035231974343412993,0.00040087101862403555,-5.179683624424561e-05,0.0004254291353605068,0.0004265108139328136,0.00014121696608861026,0.000355328562571984,0.0005899204235079192,0.0003355496904966115,0.0004682525104168659,0.00041753737733670105,0.0002939121972383374,-4.410255278771048e-05,0.00012749585648200734,-4.410255278771048e-05
7,0.0003063070948758787,0.00045885009820154993,0.0003465540981407937,0.0003489310727744584,0.00045272424548911536,0.00038284745281388883,0.0002705520169327096,0.0005059936935879457,0.00031959408826327037,0.00030319171708806527,0.00046832881800849493,0.0003773774906228197,0.00034759373488924835,0.0004518046390707857,0.00035314280128458575,0.00031528745948325356,0.0004874907437075875,0.000342781006143626,0.00031105604783015947,0.0003821349548143917,0.0002870662880321465,0.0003047462986531722,0.00045001116014712955,0.00036165761556297183,0.00032998871420993926,0.0004303580566212066,0.00043411771194524975,0.0003256368111099917,0.0006539124371395224,0.0004322563052261371,0.0004008558306935274,0.0005148012699144432,0.000407270609032946,0.0003650937764473638,0.0006804177317629957,0.0004922275784013526,0.0006351978336675898,0.00043568606874503366,0.0006076013486736386,0.00026784284280469703,0.0005860574178787571,0.00038341037633662825,0.0004094823932746629,0.0005338361109748392,0.0002727703841814121,0.00019214142159965281,0.0002753979420656243,0.0003462079674958118,0.0005060737516862405,0.00035318347569563075,0.0005853085342105564,0.000511145754537674,0.00038333963549783216,0.0006115889387064849,0.0005136804023283681,0.00045435937007472536,0.0005738642417473715,0.0004590984904530906,5.829761133746694e-05,-2.8676585493835978e-05,9.371998559261688e-05,0.0005552895534692571,0.00046362752679246445,0.00044286270381393414,0.0005963888016899519,0.0005167321554337568,0.0005660280351406806,0.0003818348420043104,0.0003905321712796944,0.00038185656693054604,0.0003513556741095443,0.00038457087027611955,0.0004051639445583297,0.0002224027156168114,0.0003245701474018618,0.0002050201056218822,0.00043208141707236515,0.0002758973022509801,0.00039244214958640544,0.000373405467629693,0.0004162755511334614,0.00026837056298191524,0.00026957104616910426,0.00033167495038512564,0.00043007761115796116,0.00035570840153259113,0.0004441036829926445,0.00022141255999202645,0.00020279492959153847,0.0003421010856161424,0.00010445161723182737,0.00023544773864693036,0.000314537639718383,0.0001630345148230434,0.00030841883606541316,0.0002755356436088565,0.00020613176334517545,0.0003159800398377082,0.0005738642417473715,0.00022097966526953103,0.0005249437193272744,0.0004884062325964456,0.00019680253771183368,0.00027953774487173315,0.00034730758476071775,0.00027953774487173315
8,0.0001799350923498119,0.00032164417716732123,0.00022652610091360536,0.00023486986701788315,0.0003506821821127261,0.000162369743185248,0.00029013205179498136,0.00021524980790394718,0.00018133146158976786,0.00011838014113280477,0.00040083953478186907,0.0002681093059187232,0.00022082353207606106,0.00027745459941055207,0.00023381754505747993,0.0002664521485877923,0.00028319779889506003,0.0002635203084114422,0.0001960542468178686,0.0003306203823986838,0.0003457068855872842,0.00036895781926838913,0.00035114596029174025,0.0002571718828392009,0.000161499395935294,0.00029576890758564094,0.0002459998267340655,0.00021778012942124663,0.0004441048083723985,0.00026173329744664544,0.00015170561416774737,0.0003639313312512872,0.0002503323135671158,0.0002478188415397285,0.0005301783265028222,0.0004201879061639541,0.0005143489342125019,0.00025218756715091636,0.0004168894308210808,0.0002874352613036123,0.0005706863469543809,0.0004674660784388616,0.00039709378953039663,0.0004459847511517848,4.2701762207663545e-05,4.4570393160149024e-05,-0.0001842603062994978,0.00034897809680366893,0.0005103273875641721,0.00037544624471660986,0.0004585691677003476,0.00035292499644735856,0.00011177962355043904,0.00041263761534403065,0.0003422792720538886,0.00036215080474785586,0.0005479358386949182,0.0004159521334923567,-0.00021918677094082915,-2.6767398749461757e-05,-3.2434937258981535e-05,0.0007790383190153082,0.0007440858078983391,0.0006400549154887046,0.0007099735888316662,0.0007360487261034904,0.0006203025699731717,0.0004869226270106772,0.00048132561047180397,0.00044646163850945136,0.0004601424383920506,0.0004502474971118937,0.0004661235269720075,0.00014177864814275148,0.0001569790761851643,0.0001120240380585898,0.00016348649251699956,5.9120719757131516e-05,0.0003404027337105446,0.00031397400573969416,0.00039164055901019736,7.851316821440166e-05,0.00027730019571006975,9.771533052240795e-05,0.00029283697206569507,0.0002681287708596629,0.0003381010141751732,0.00013017617466169794,0.00018818249452619138,0.0002527370290418725,0.00042638845991810125,0.0002577354445693016,0.0002398226058369282,0.0004418451540837098,0.0001977661170563935,0.00027531731099357634,0.0003136590568290385,0.00020101928985602051,0.0005479358386949182,0.00017287013990017713,0.0006857488491999932,0.0005233381899768499,0.00034187240124175126,0.0003822181239627447,0.0005124365120932502,0.0003822181239627447
9,-5.96892895917718e-05,1.0637250241217118e-05,3.027171047309076e-05,7.542819499812858e-05,0.00022572103041449434,0.00015463725065336853,0.0001586175070754873,-0.0002528864381377717,-0.00013985314142186755,-7.934565582133546e-05,4.369075288435416e-05,1.792196652617598e-05,2.7815483433292357e-05,2.2410637453855252e-05,6.707479905193859e-05,0.00013905625412075976,5.273811188803898e-05,-1.5926643334092245e-07,-5.732215488160396e-06,4.7053182464099804e-05,1.2587214069464859e-05,4.544660738701306e-05,6.377498079345389e-05,8.994908905192132e-05,0.00010168502763301476,0.0001142173476996869,6.764843520458348e-05,0.00010738633663818031,1.6153261603193687e-05,-3.69994989290508e-05,3.180288766534552e-05,8.894912172178115e-05,1.651728907960779e-05,-7.398124115381729e-05,0.0001754349942047558,0.00022002204777924787,0.0003491968762382047,1.9660467918851288e-05,3.715899623710694e-05,0.00010781276174325581,0.00043802848045920056,0.0004838273353916921,0.00025527057572906543,0.00038257564289861386,-0.00023115410815267813,-5.074133505714086e-05,-0.00025321468561144997,0.0003326111018082891,0.0002573754138264134,0.0003263648168641358,-2.7456246079763533e-05,-1.909424302622164e-05,8.374279074785913e-05,9.263815881397837e-05,9.716648351317515e-05,0.00017061649599512502,9.319340259540366e-05,6.579770220693517e-05,-0.0002970304991856769,-0.00020109938777265922,-0.0001567118477999603,0.0009092119778835244,0.0008050014170213114,0.0007826015470961936,0.0008924051905486818,0.0008367465461310773,0.0007524989050615956,0.0005520599942623164,0.00047664466784124495,0.00046245973737374857,0.0005055658919815395,0.0004844182812105062,0.0004430690738247218,-7.089667266123752e-05,5.102840746090614e-05,6.709834397997833e-05,-0.00019783111205266645,1.2436421518536387e-06,0.0002127877310398845,0.00011101700980082577,0.00015369307848223305,-1.6607727401928542e-05,0.00019754788555417143,-0.00010850775220486709,0.00028288929736654717,0.00023645159277873188,0.00025059651278735886,-5.8415228078043426e-05,5.626790618510848e-05,0.00015807939741714394,0.0005763835954023992,0.00014504400922182064,6.90967902594902e-05,0.000480974096700609,1.231871051852104e-05,0.0001415665052215744,0.0004602332222856212,0.00020787864120485418,9.319340259540366e-05,-2.4326280458219356e-05,0.0007587902295467934,0.000653840681366084,0.0005008087222593068,0.0005457837286650572,0.0005812603273724471,0.0005457837286650572
10,-0.000975588728971231,-0.00113085675295706,-0.0006548092107087062,-0.0004084499247156943,-0.0004141140619423867,-0.00018943417366450388,-6.593008119010075e-05,-0.0010999580926570032,-0.0007418019427820475,-0.00048133672436408734,-0.001076253421189799,-0.000616736614306379,-0.0003918135307150213,-0.0010930419445134329,-0.0006356832383280322,-0.00045207447087184944,-0.0007530754827942016,-0.0005392065647620706,-0.0004036534931876408,-0.000892223458312348,-0.0005683255535480308,-0.0004948184300316978,-0.0008859880937221905,-0.000491154764444961,-0.00023885114797367703,-0.0009561606669465345,-0.000592174141045613,-0.00032869434059293367,-0.0015320953876344996,-0.0009003319684349804,-0.0006277075890444491,-0.0013857365684655661,-0.0009198352263053229,-0.0006151290989001335,-0.0016815826895140214,-0.0003154888190413298,-0.001589336046587962,-0.00033650663830952837,-0.0017940463628615343,-0.00016664971413034034,-0.00013857488049096413,0.0003673815663920869,8.276148515520414e-05,-0.0003187451275089081,-0.000857663639838233,-0.0003602800707051251,-0.0002958752708224756,0.0001552639582654434,-0.0006466626605645106,5.949702770604292e-05,-0.0011793688057736287,-0.0007847200198258798,-0.0004795353278529533,-0.0012438658032738132,-0.0007715930623475737,-0.0005780091386298233,-0.0014133047006393389,-0.0008840136779256682,-0.0004374823856515229,-0.00026567553900491903,-0.00020506357248248867,0.0007634509507204916,0.0007384040586071449,0.0007409919317552258,0.0005600919951964869,0.00052023330097652,0.0005389884320913754,0.0006535102900104816,0.0005599686076527098,0.0005130921326407993,0.0005796807598794258,0.000519944024561317,0.00048439962487035353,-0.0007941547738646668,-0.0007555914417951501,-0.0003796099396081647,-0.0014697077005826422,-0.0004941595997351452,-0.0005849971275181479,-0.0004621402545461441,-0.00041992087345692675,-0.0005579454805754975,-0.00030183378896479296,-0.0005372752548366483,-0.0002553160965622042,-0.00023771835479837253,-0.0002148980222082679,-0.00039843901159344105,-0.00043592864273343167,-0.0005609352952432766,0.0007679109034359898,-0.00013267862613304218,-0.0002857873882824182,0.0006619444398761126,2.7530716771303216e-07,-0.00024027089832560797,0.0005636978608648046,0.00017320453088070432,-0.0014133047006393389,-0.0010374095596899769,0.0006937412036590529,0.0005918210472840457,0.0006794150483857463,0.0006271665268547706,0.0006179228737211445,0.0006271665268547706
